"행정구역","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"세종특별자치시 세종특별자치시 (3611000000)","340,575","135,408","          2.52","169,845","170,730","          0.99","355,831","144,275","          2.47","177,568","178,263","          1.00","371,895","153,649","          2.42","185,678","186,217","          1.00"
"세종특별자치시  조치원읍(3611025000)","43,266","19,472","          2.22","22,335","20,931","          1.07","43,100","20,307","          2.12","22,294","20,806","          1.07","43,262","20,972","          2.06","22,520","20,742","          1.09"
"세종특별자치시  연기면(3611031000)","2,577","1,445","          1.78","1,436","1,141","          1.26","2,729","1,597","          1.71","1,531","1,198","          1.28","2,812","1,695","          1.66","1,599","1,213","          1.32"
"세종특별자치시  연동면(3611032000)","3,187","1,680","          1.90","1,628","1,559","          1.04","3,160","1,729","          1.83","1,647","1,513","          1.09","3,112","1,749","          1.78","1,636","1,476","          1.11"
"세종특별자치시  부강면(3611033000)","6,308","3,249","          1.94","3,455","2,853","          1.21","6,245","3,333","          1.87","3,433","2,812","          1.22","6,152","3,382","          1.82","3,393","2,759","          1.23"
"세종특별자치시  금남면(3611034000)","8,761","4,509","          1.94","4,618","4,143","          1.11","8,865","4,763","          1.86","4,655","4,210","          1.11","8,975","4,946","          1.81","4,770","4,205","          1.13"
"세종특별자치시  장군면(3611035000)","6,238","3,453","          1.81","3,499","2,739","          1.28","6,703","3,912","          1.71","3,837","2,866","          1.34","6,994","4,252","          1.64","4,050","2,944","          1.38"
"세종특별자치시  연서면(3611036000)","7,518","3,834","          1.96","4,037","3,481","          1.16","7,481","3,951","          1.89","4,074","3,407","          1.20","7,380","3,971","          1.86","4,042","3,338","          1.21"
"세종특별자치시  전의면(3611037000)","5,863","3,045","          1.93","3,082","2,781","          1.11","5,686","3,054","          1.86","3,024","2,662","          1.14","5,523","3,033","          1.82","2,952","2,571","          1.15"
"세종특별자치시  전동면(3611038000)","3,758","2,130","          1.76","2,047","1,711","          1.20","3,578","2,090","          1.71","1,949","1,629","          1.20","3,368","1,980","          1.70","1,813","1,555","          1.17"
"세종특별자치시  소정면(3611039000)","2,545","1,231","          2.07","1,337","1,208","          1.11","2,442","1,232","          1.98","1,299","1,143","          1.14","2,270","1,165","          1.95","1,204","1,066","          1.13"
"세종특별자치시  한솔동(3611051000)","19,287","6,333","          3.05","9,501","9,786","          0.97","19,233","6,458","          2.98","9,447","9,786","          0.97","18,615","6,411","          2.90","9,151","9,464","          0.97"
"세종특별자치시  새롬동(3611051500)","53,482","20,495","          2.61","25,949","27,533","          0.94","29,430","12,014","          2.45","14,270","15,160","          0.94","38,186","15,296","          2.50","18,549","19,637","          0.94"
"세종특별자치시  도담동(3611052000)","31,919","13,136","          2.43","15,447","16,472","          0.94","39,495","16,245","          2.43","19,132","20,363","          0.94","33,331","14,229","          2.34","16,051","17,280","          0.93"
"세종특별자치시  해밀동(3611052500)","0","0","          0.00","0","0","          0.00","","","","","","","8,569","3,096","          2.77","4,192","4,377","          0.96"
"세종특별자치시  아름동(3611053000)","23,589","7,560","          3.12","11,634","11,955","          0.97","23,562","7,701","          3.06","11,677","11,885","          0.98","23,349","7,785","          3.00","11,578","11,771","          0.98"
"세종특별자치시  종촌동(3611054000)","29,778","10,691","          2.79","14,445","15,333","          0.94","29,568","10,779","          2.74","14,339","15,229","          0.94","29,139","10,861","          2.68","14,168","14,971","          0.95"
"세종특별자치시  고운동(3611055000)","33,371","11,436","          2.92","16,253","17,118","          0.95","34,431","11,896","          2.89","16,823","17,608","          0.96","34,171","11,896","          2.87","16,731","17,440","          0.96"
"세종특별자치시  소담동(3611055500)","29,489","10,973","          2.69","14,515","14,974","          0.97","32,423","12,028","          2.70","15,971","16,452","          0.97","20,406","7,361","          2.77","10,048","10,358","          0.97"
"세종특별자치시  반곡동(3611055600)","0","0","          0.00","0","0","          0.00","","","","","","","17,586","7,598","          2.31","8,662","8,924","          0.97"
"세종특별자치시  보람동(3611056000)","19,055","6,810","          2.80","9,371","9,684","          0.97","19,397","6,956","          2.79","9,514","9,883","          0.96","19,022","6,905","          2.75","9,302","9,720","          0.96"
"세종특별자치시  대평동(3611057000)","10,584","3,926","          2.70","5,256","5,328","          0.99","10,973","4,154","          2.64","5,455","5,518","          0.99","11,315","4,375","          2.59","5,642","5,673","          0.99"
"세종특별자치시  다정동(3611058000)","0","0","          0.00","0","0","          0.00","27,330","10,076","          2.71","13,197","14,133","          0.93","28,358","10,691","          2.65","13,625","14,733","          0.92"
